"course","title","year","sem","campus","track","level","credits","desc"
"GELT002","Seminar for Experience of Global Culture and Entrepreneurship","2025","Spring","Suwon","Others","BS","1","nan"
"GELT002","Seminar for Experience of Global Culture and Entrepreneurship","2025","Spring","Seoul","Others","BS","1","nan"
"GELT002","Seminar for Experience of Global Culture and Entrepreneurship","2025","Autumn","Suwon","Others","BS","1","nan"
"GELT002","Seminar for Experience of Global Culture and Entrepreneurship","2025","Autumn","Seoul","Others","BS","1","nan"
"GELT093","Korean Language and Culture","2025","Spirng","Suwon","Others","BS","2","nan"
"GELT093","Korean Language and Culture","2025","Autumn","Suwon","Others","BS","2","nan"
"SUP5006","Mathematics for Machine Learning","2025","Spring","Suwon","Math","MS","3","nan"
"SUP5013","Algorithm Design","2025","Spring","Suwon","ML","MS","3","nan"
"BUS3037","Marketing Intelligence","2025","Spring","Online","Others","BS","3","nan"
"BIZ3025","Consumer Neuroscience and Implications for AI","2025","Spring","Seoul","Others","BS","3","nan"
"BUS3045","Business Analytics and Applications","2025","Spring","Seoul","Others","BS","3","nan"
"BUS3045","Business Analytics and Applications","2025","Autumn","Seoul","Others","BS","3","nan"
"BUS3049","Platform Business in Digital Economy","2025","Spring","Seoul","Others","BS","3","nan"
"BUS3049","Platform Business in Digital Economy","2025","Autumn","Seoul","Others","BS","3","nan"
"BUS3053","Digital Marketing Strategy","2025","Spring","Seoul","Others","BS","3","nan"
"COM2021","Digital Video Processing","2025","Spring","Seoul","IFI","BS","3","nan"
"COM3004","Computer Architecture","2025","Spirng","Seoul","IFI","BS","3","nan"
"COM3022","Artificial Intelligence","2025","Spring","Seoul","IFI","BS","3","nan"
"COM3039","Computer Graphics","2025","Spirng","Seoul","IFI","BS","3","nan"
"CSE3036","Seminar in Computer Engineering","2025","Spring","Suwon","IFI","BS","1","nan"
"CSE3036","Seminar in Computer Engineering","2025","Autumn","Suwon","IFI","BS","1","nan"
"COS2044","History of Korean Philosophy","2025","Spring","Seoul","Others","BS","3","nan"
"CON2036","Introduction to FinTech","2025","Spring","Seoul","Others","BS","3","nan"
"CNT2005","Content Planning & Development","2025","Spring","Seoul","DBI","BS","3","Content includes VR, AR, and more."
"CNT2019","Global Cultural Exchange","2025","Spring","Seoul","DBI","BS","3","nan"
"CNT2020","Cultural Industry and Data Analysis","2025","Spring","Seoul","DBI","BS","3","nan"
"CNT2024","Korean Cinema in the World","2025","Spirng","Seoul","DBI","BS","3","nan"
"CNT3065","Understanding K-content as a Business Enabler","2025","Spirng","Seoul","DBI","BS","3","nan"
"DASF003","Computer Programming for Engineers","2025","Spring","Suwon","IFI","BS","3","nan"
"DASF003","Computer Programming for Engineers","2025","Autumn","Suwon","IFI","BS","3","nan"
"DASF004","Basis and Practice in Programming","2025","Spring","Suwon","IFI","BS","3","nan"
"DASF004","Basis and Practice in Programming","2025","Autumn","Suwon","IFI","BS","3","nan"
"DSC2005","Data Science and R","2025","Spring","Seoul","IFI","BS","3","nan"
"DSC2019","Numerical Methods for Data Analysis","2025","Spring","Seoul","IFI","BS","3","nan"
"DSC2020","Introduction to Statistics and Probability","2025","Spring","Seoul","IFI","BS","3","nan"
"DSC3021","Introduction to Artificial Intelligence","2025","Spring","Seoul","IFI","BS","3","nan"
"DSC3032","Deep Learning 1: Foundations and Image Processing","2025","Spring","Seoul","IFI","BS","3","nan"
"SWE2001","System Program","2025","Spring","Suwon","IFI","BS","3","nan"
"SWE2001","System Program","2025","Autumn","Suwon","IFI","BS","3","nan"
"SWE2003","Automata","2025","Spring","Suwon","IFI","BS","3","nan"
"SWE2015","Data Structures","2025","Spring","Suwon","IFI","BS","3","nan"
"SWE2015","Data Structures","2025","Autumn","Suwon","IFI","BS","3","nan"
"SWE2021","Open Source Software Practice","2025","Spring","Suwon","IFI","BS","2","nan"
"SWE2021","Open Source Software Practice","2025","Autumn","Suwon","IFI","BS","2","nan"
"SWE2023","JAVA Programming Lab","2025","Spring","Seoul","IFI","BS","2","nan"
"SWE2023","JAVA Programming Lab","2025","Autumn","Seoul","IFI","BS","2","nan"
"SWE2024","System Programming Lab","2025","Spring","Suwon","IFI","BS","2","nan"
"SWE3002","Introduction to Software Engineering","2025","Spring","Suwon","IFI","BS","3","nan"
"SWE3002","Introduction to Software Engineering","2025","Autumn","Suwon","IFI","BS","3","nan"
"SWE3004","Operating Systems","2025","Spring","Suwon","IFI","BS","3","nan"
"SWE3005","Introduction to Computer Architectures","2025","Spring","Suwon","IFI","BS","3","nan"
"SWE3005","Introduction to Computer Architectures","2025","Autumn","Suwon","IFI","BS","3","nan"
"SWE3006","Programming Languages","2025","Spring","Suwon","IFI","BS","3","nan"
"SWE3006","Programming Languages","2025","Autumn","Suwon","IFI","BS","3","nan"
"SWE3008","Introduction to Computer Graphics","2025","Spring","Suwon","IFI","BS","3","nan"
"SWE3011","Introduction to Artificial Intelligence","2025","Spring","Suwon","IFI","BS","3","nan"
